Category: All categories

Day,covid medicines: (India)
2020-11-01,2
2020-11-02,15
2020-11-03,8
2020-11-04,8
2020-11-05,2
2020-11-06,6
2020-11-07,7
2020-11-08,5
2020-11-09,7
2020-11-10,10
2020-11-11,9
2020-11-12,7
2020-11-13,8
2020-11-14,12
2020-11-15,6
2020-11-16,5
2020-11-17,7
2020-11-18,2
2020-11-19,7
2020-11-20,10
2020-11-21,8
2020-11-22,8
2020-11-23,9
2020-11-24,7
2020-11-25,9
2020-11-26,12
2020-11-27,4
2020-11-28,7
2020-11-29,9
2020-11-30,0
2020-12-01,5
2020-12-02,4
2020-12-03,9
2020-12-04,2
2020-12-05,0
2020-12-06,0
2020-12-07,9
2020-12-08,6
2020-12-09,7
2020-12-10,2
2020-12-11,0
2020-12-12,0
2020-12-13,5
2020-12-14,7
2020-12-15,2
2020-12-16,0
2020-12-17,0
2020-12-18,2
2020-12-19,2
2020-12-20,0
2020-12-21,5
2020-12-22,5
2020-12-23,0
2020-12-24,14
2020-12-25,0
2020-12-26,5
2020-12-27,5
2020-12-28,0
2020-12-29,2
2020-12-30,0
2020-12-31,2
2021-01-01,5
2021-01-02,5
2021-01-03,8
2021-01-04,7
2021-01-05,4
2021-01-06,7
2021-01-07,4
2021-01-08,0
2021-01-09,4
2021-01-10,5
2021-01-11,4
2021-01-12,0
2021-01-13,2
2021-01-14,3
2021-01-15,2
2021-01-16,2
2021-01-17,2
2021-01-18,7
2021-01-19,6
2021-01-20,2
2021-01-21,2
2021-01-22,2
2021-01-23,2
2021-01-24,3
2021-01-25,4
2021-01-26,2
2021-01-27,2
2021-01-28,7
2021-01-29,0
2021-01-30,2
2021-01-31,0
2021-02-01,0
2021-02-02,0
2021-02-03,2
2021-02-04,2
2021-02-05,0
2021-02-06,4
2021-02-07,2
2021-02-08,6
2021-02-09,0
2021-02-10,2
2021-02-11,4
2021-02-12,0
2021-02-13,7
2021-02-14,5
2021-02-15,0
2021-02-16,2
2021-02-17,0
2021-02-18,0
2021-02-19,5
2021-02-20,2
2021-02-21,3
2021-02-22,2
2021-02-23,4
2021-02-24,2
2021-02-25,0
2021-02-26,0
2021-02-27,2
2021-02-28,0
2021-03-01,13
2021-03-02,2
2021-03-03,7
2021-03-04,2
2021-03-05,12
2021-03-06,0
2021-03-07,5
2021-03-08,0
2021-03-09,0
2021-03-10,2
2021-03-11,2
2021-03-12,13
2021-03-13,5
2021-03-14,2
2021-03-15,15
2021-03-16,0
2021-03-17,2
2021-03-18,11
2021-03-19,9
2021-03-20,2
2021-03-21,20
2021-03-22,13
2021-03-23,14
2021-03-24,16
2021-03-25,13
2021-03-26,23
2021-03-27,10
2021-03-28,19
2021-03-29,14
2021-03-30,14
2021-03-31,16
2021-04-01,9
2021-04-02,21
2021-04-03,32
2021-04-04,13
2021-04-05,18
2021-04-06,27
2021-04-07,18
2021-04-08,21
2021-04-09,42
2021-04-10,31
2021-04-11,27
2021-04-12,34
2021-04-13,50
2021-04-14,55
2021-04-15,53
2021-04-16,48
2021-04-17,62
2021-04-18,58
2021-04-19,77
2021-04-20,75
2021-04-21,82
2021-04-22,62
2021-04-23,81
2021-04-24,70
2021-04-25,90
2021-04-26,100
2021-04-27,84
2021-04-28,70
2021-04-29,71
2021-04-30,63
2021-05-01,64
2021-05-02,65
2021-05-03,79
2021-05-04,87
2021-05-05,66
2021-05-06,75
2021-05-07,66
2021-05-08,81
2021-05-09,69
2021-05-10,87
2021-05-11,78
2021-05-12,68
2021-05-13,67
2021-05-14,56
2021-05-15,69
2021-05-16,40
2021-05-17,23
2021-05-18,55
2021-05-19,38
2021-05-20,30
2021-05-21,48
2021-05-22,44
2021-05-23,36
2021-05-24,30
2021-05-25,42
2021-05-26,26
2021-05-27,39
2021-05-28,29
2021-05-29,31
2021-05-30,21
2021-05-31,18
2021-06-01,39
2021-06-02,23
2021-06-03,23
2021-06-04,39
2021-06-05,16
2021-06-06,13
2021-06-07,18
2021-06-08,25
2021-06-09,16
2021-06-10,7
2021-06-11,16
2021-06-12,21
2021-06-13,17
2021-06-14,16
2021-06-15,13
2021-06-16,27
2021-06-17,13
2021-06-18,6
2021-06-19,15
2021-06-20,12
2021-06-21,26
2021-06-22,6
2021-06-23,14
2021-06-24,7
2021-06-25,7
2021-06-26,16
2021-06-27,10
2021-06-28,11
2021-06-29,22
2021-06-30,4
